City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,55.09,overcast clouds,-33.65,115.3333,Observatory Guest House
1,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Upernavik,GL,31.21,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
3,Atuona,PF,78.66,few clouds,-9.8,-139.0333,Villa Enata
4,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
5,Hasaki,JP,68.29,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
7,Cherskiy,RU,47.1,few clouds,68.75,161.3,Gostinitsa
8,Khatanga,RU,38.03,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
10,New Norfolk,AU,45.9,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
12,Binga,ZW,73.96,clear sky,-17.6203,27.3414,Lakeview Inn Binga
13,Porkhov,RU,60.69,broken clouds,57.765,29.5561,Hotel Parking
14,Port Alfred,ZA,65.12,broken clouds,-33.5906,26.891,The Halyards Hotel
16,Jamestown,US,47.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
18,Qianjiang,CN,68.99,light rain,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
20,Tuatapere,NZ,49.82,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
21,Nanlong,CN,71.2,overcast clouds,31.3533,106.0631,Demei Hotel
22,Alofi,NU,78.06,moderate rain,-19.0595,-169.9187,Taloa Heights
23,Pilot Butte,CA,59.79,broken clouds,50.4668,-104.4178,Sleep Inn Regina East
24,Tasiilaq,GL,39.36,light rain,65.6145,-37.6368,The Red House
25,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Mount Gambier,AU,40.8,clear sky,-37.8333,140.7667,Commodore on the Park
27,Port Lincoln,AU,56.64,clear sky,-34.7333,135.8667,Port Lincoln Hotel
29,Lakes Entrance,AU,36.18,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
30,Meulaboh,ID,79.43,broken clouds,4.1363,96.1285,Kost Pria
31,Mataura,NZ,49.48,light rain,-46.1927,168.8643,Ellie's Villa
32,Codrington,AU,41.2,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
