City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,55.09,82,90,8.19,overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,56,5.99,broken clouds
2,Upernavik,GL,72.7868,-56.1549,31.21,94,94,16.31,overcast clouds
3,Atuona,PF,-9.8,-139.0333,78.66,71,14,11.01,few clouds
4,Tiarei,PF,-17.5333,-149.3333,75.22,77,43,12.33,light rain
5,Hasaki,JP,35.7333,140.8333,68.29,86,35,1.5,scattered clouds
6,Georgetown,MY,5.4112,100.3354,86.9,77,20,2.21,few clouds
7,Cherskiy,RU,68.75,161.3,47.1,52,24,10.25,few clouds
8,Khatanga,RU,71.9667,102.5,38.03,82,97,11.05,overcast clouds
9,Lavrentiya,RU,65.5833,-171.0,27.18,87,12,11.97,few clouds
10,New Norfolk,AU,-42.7826,147.0587,45.9,75,42,3.04,scattered clouds
11,Provideniya,RU,64.3833,-173.3,38.07,55,7,12.53,clear sky
12,Binga,ZW,-17.6203,27.3414,73.96,36,0,4.23,clear sky
13,Porkhov,RU,57.765,29.5561,60.69,46,65,9.35,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,65.12,65,74,25.52,broken clouds
15,Vostok,RU,46.4856,135.8833,44.04,89,100,2.17,overcast clouds
16,Jamestown,US,42.097,-79.2353,47.52,87,90,14.97,overcast clouds
17,Kahului,US,20.8947,-156.47,74.84,81,1,8.05,clear sky
18,Qianjiang,CN,30.4151,112.8859,68.99,85,97,11.7,light rain
19,Omboue,GA,-1.5746,9.2618,80.15,82,93,8.12,light rain
20,Tuatapere,NZ,-46.1333,167.6833,49.82,91,100,9.93,light rain
21,Nanlong,CN,31.3533,106.0631,71.2,74,99,4.79,overcast clouds
22,Alofi,NU,-19.0595,-169.9187,78.06,82,93,13.96,moderate rain
23,Pilot Butte,CA,50.4668,-104.4178,59.79,55,75,15.88,broken clouds
24,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,16.87,light rain
25,Mahebourg,MU,-20.4081,57.7,76.24,88,75,3.44,broken clouds
26,Mount Gambier,AU,-37.8333,140.7667,40.8,93,0,4.76,clear sky
27,Port Lincoln,AU,-34.7333,135.8667,56.64,63,0,13.51,clear sky
28,Kavaratti,IN,10.5669,72.642,83.7,74,71,17.05,broken clouds
29,Lakes Entrance,AU,-37.8811,147.981,36.18,81,77,5.5,broken clouds
30,Meulaboh,ID,4.1363,96.1285,79.43,82,80,3.22,broken clouds
31,Mataura,NZ,-46.1927,168.8643,49.48,96,100,3.74,light rain
32,Codrington,AU,-38.2667,141.9667,41.2,91,2,6.53,clear sky
33,Hithadhoo,MV,-0.6,73.0833,83.7,71,90,17.16,overcast clouds
34,Vaini,TO,-21.2,-175.2,73.56,88,75,3.44,light rain
35,Mehran,IR,33.1222,46.1646,103.48,6,0,10.27,clear sky
36,Hobart,AU,-42.8794,147.3294,46.26,80,90,4.32,overcast clouds
37,Kaset Sombun,TH,16.2805,101.9542,79.88,82,96,4.52,light rain
38,Ushuaia,AR,-54.8,-68.3,31.66,80,75,18.41,light snow
39,Krasnoselkup,RU,65.7,82.4667,44.67,45,5,1.92,clear sky
40,Pevek,RU,69.7008,170.3133,39.24,64,4,9.57,clear sky
41,Kapaa,US,22.0752,-159.319,70.12,94,1,6.06,clear sky
42,Rikitea,PF,-23.1203,-134.9692,76.93,85,54,19.35,broken clouds
43,Magistralnyy,RU,56.1725,107.4458,35.51,78,69,2.77,broken clouds
44,Bilibino,RU,68.0546,166.4372,42.71,69,92,1.61,overcast clouds
45,Lagoa,PT,39.05,-27.9833,63.01,72,76,5.23,broken clouds
46,Cidreira,BR,-30.1811,-50.2056,65.03,66,19,14.25,few clouds
47,Cape Town,ZA,-33.9258,18.4232,65.1,60,18,1.99,few clouds
48,Nemuro,JP,43.3236,145.575,44.46,96,89,10.65,overcast clouds
49,Bubaque,GW,11.2833,-15.8333,79.29,66,34,11.16,scattered clouds
50,Tankhoy,RU,51.5528,105.1306,43.57,93,100,6.15,overcast clouds
51,Ribeira Brava,PT,32.65,-17.0667,72.23,80,41,5.48,scattered clouds
52,Qaanaaq,GL,77.484,-69.3632,32.68,92,42,6.08,scattered clouds
53,Chapais,CA,49.7834,-74.8492,46.18,33,3,5.3,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,37.51,48,40,20.89,scattered clouds
55,Kavieng,PG,-2.5744,150.7967,82.22,81,89,11.63,light rain
56,Iqaluit,CA,63.7506,-68.5145,28.13,69,75,24.16,broken clouds
57,Arraial Do Cabo,BR,-22.9661,-42.0278,93.16,48,75,6.91,broken clouds
58,Zhezkazgan,KZ,47.8043,67.7144,73.85,43,97,13.69,overcast clouds
59,Sinnamary,GF,5.3833,-52.95,80.24,83,90,8.3,overcast clouds
60,Norfolk,US,42.1668,-71.2495,47.98,93,90,4.0,moderate rain
61,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,4.61,broken clouds
62,Avarua,CK,-21.2078,-159.775,71.65,78,20,3.44,few clouds
63,Hermanus,ZA,-34.4187,19.2345,62.91,78,29,12.24,light rain
64,Victoria,HK,22.2855,114.1577,87.33,87,100,1.01,overcast clouds
65,San Patricio,US,28.017,-97.5169,73.29,74,100,4.41,overcast clouds
66,Albany,US,42.6001,-73.9662,47.35,92,100,5.68,light rain
67,Dikson,RU,73.5069,80.5464,26.13,87,72,4.32,broken clouds
68,Guinguineo,SN,14.2667,-15.95,100.22,28,0,12.06,clear sky
69,Eyl,SO,7.9803,49.8164,84.72,66,95,21.88,overcast clouds
70,Port Blair,IN,11.6667,92.75,82.08,79,100,4.63,overcast clouds
71,Hilo,US,19.7297,-155.09,69.62,87,1,5.75,light rain
72,Pekan,MY,3.4836,103.3996,77.11,86,52,5.3,broken clouds
73,Bluff,NZ,-46.6,168.3333,49.8,87,100,21.68,overcast clouds
74,Castro,BR,-24.7911,-50.0119,73.47,61,10,14.16,clear sky
75,Puerto Escondido,MX,15.85,-97.0667,86.83,70,75,3.44,broken clouds
76,Cabo San Lucas,MX,22.8909,-109.9124,88.81,36,40,4.61,scattered clouds
77,Bredasdorp,ZA,-34.5322,20.0403,60.28,88,11,13.89,few clouds
78,Highland,US,34.1283,-117.2086,80.15,58,95,3.74,overcast clouds
79,Half Moon Bay,US,37.4636,-122.4286,57.9,87,90,13.8,overcast clouds
80,Quimper,FR,48.0,-4.1,68.83,82,75,2.3,broken clouds
81,Muros,ES,42.7762,-9.0603,79.68,60,22,16.82,few clouds
82,Porto Novo,BJ,6.4965,2.6036,87.62,63,100,8.63,overcast clouds
83,Atar,MR,20.5169,-13.0499,108.99,9,100,15.43,overcast clouds
84,Koygorodok,RU,60.445,50.9968,59.25,58,100,5.73,overcast clouds
85,Sibolga,ID,1.7427,98.7792,77.81,90,34,3.04,scattered clouds
86,Kuah,MY,6.3265,99.8432,84.2,84,20,2.51,few clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,48.09,52,40,11.01,moderate rain
88,Nikolskoye,RU,59.7035,30.7861,55.29,37,1,9.91,clear sky
89,San Vicente,AR,-26.6167,-54.1333,71.76,72,90,3.56,overcast clouds
90,Visby,SE,57.6409,18.296,58.05,47,1,13.8,clear sky
91,Stornoway,GB,58.2093,-6.3865,62.56,67,100,11.5,overcast clouds
92,Abnub,EG,27.2696,31.1511,97.03,16,0,16.96,clear sky
93,Bethel,US,41.3712,-73.414,47.01,91,100,3.0,moderate rain
